                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     76,               0.037103,               0.024362,                0.01989,               0.017181,                0.51491,                0.44039,                0.41938,                 0.2327,                0.51508,                0.43781,                0.41975,                0.25571,                0.05453,               0.026161,                0.01376,               0.038787,               0.007525,               0.007525,               0.007525
                     77,               0.036054,                0.02402,               0.019335,               0.016199,                0.50761,                0.44142,                0.41529,                0.23416,                0.51236,                0.43166,                0.40729,                0.23972,               0.055928,               0.028505,               0.013595,               0.038252,               0.007492,               0.007492,               0.007492
                     78,               0.035836,               0.024057,               0.019268,               0.016257,                0.52131,                0.43184,                0.40937,                 0.2338,                0.51367,                 0.4305,                0.40361,                0.24172,                0.05699,               0.028224,               0.013939,               0.040453,               0.007459,               0.007459,               0.007459
                     79,               0.036168,               0.023766,               0.020239,               0.016324,                0.46921,                0.38296,                0.34768,                0.19469,                 0.4541,                0.37822,                0.33913,                0.19825,               0.057433,               0.030365,               0.014442,               0.045057,               0.007426,               0.007426,               0.007426
                     80,               0.035805,               0.024245,               0.019711,               0.015679,                0.50335,                0.44167,                0.40173,                0.22863,                0.49921,                0.43814,                0.39818,                0.24072,               0.054991,               0.027149,                0.01392,               0.040141,               0.007393,               0.007393,               0.007393
                     81,               0.035432,               0.023335,               0.019383,               0.015981,                0.49456,                0.42811,                0.39816,                0.22344,                0.49624,                0.41941,                0.38784,                0.22904,               0.054913,               0.027584,                0.01418,               0.039478,                0.00736,                0.00736,                0.00736
                     82,               0.035154,               0.023037,               0.019138,               0.015221,                0.46263,                0.37282,                0.34441,                0.18877,                0.46848,                0.36582,                0.33797,                0.19895,               0.054546,               0.027737,               0.014422,               0.041835,               0.007327,               0.007327,               0.007327
                     83,               0.034904,               0.023211,               0.018849,               0.015625,                0.53775,                0.43295,                0.42857,                0.24571,                0.53696,                0.42686,                0.42432,                0.26527,               0.054681,               0.026563,               0.013947,               0.039142,               0.007294,               0.007294,               0.007294
                     84,               0.035785,               0.023825,               0.018985,               0.015949,                0.51312,                0.44756,                0.41416,                0.23696,                0.51186,                0.44991,                0.41333,                0.25622,               0.053978,               0.026709,               0.014137,               0.039192,               0.007261,               0.007261,               0.007261
                     85,               0.036226,               0.023435,               0.019449,               0.014916,                0.51816,                0.44266,                0.41457,                0.23292,                0.52074,                0.43948,                0.41422,                0.24885,               0.053279,               0.026653,               0.013985,               0.039019,               0.007228,               0.007228,               0.007228
